ocid,compiledRelease/id,compiledRelease/awards/0/id,compiledRelease/awards/0/value/amount,compiledRelease/awards/0/value/currency,compiledRelease/awards/0/value/currencyName,compiledRelease/awards/0/date
ocds-dgv273-seacev3-1232980,ocds-dgv273-seacev3-1232980-2026-09-18T10:23:20.697129-05:00,1232980-1822796,12396884.0,PEN,Soles,2026-09-07T00:00:00-05:00
ocds-dgv273-seacev3-1236338,ocds-dgv273-seacev3-1236338-2026-09-18T10:23:20.646116-05:00,1236338-10430695059,53424.0,PEN,Soles,2026-08-26T00:00:00-05:00
ocds-dgv273-seacev3-1237737,ocds-dgv273-seacev3-1237737-2026-09-18T10:23:20.614058-05:00,1237737-20601276594,335500.0,PEN,Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1232526,ocds-dgv273-seacev3-1232526-2026-09-18T10:23:20.522034-05:00,1232526-20605641939,127000.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1233503,ocds-dgv273-seacev3-1233503-2026-09-18T10:23:20.437656-05:00,1233503-1817455,77997.52,PEN,Soles,2026-08-11T00:00:00-05:00
ocds-dgv273-seacev3-1230549,ocds-dgv273-seacev3-1230549-2026-09-18T10:23:20.048830-05:00,1230549-20516809524,102326.0,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1233721,ocds-dgv273-seacev3-1233721-2026-09-18T10:23:19.989545-05:00,1233721-20101064515,2879623.0,PEN,Nuevos Soles,2026-09-04T00:00:00-05:00
ocds-dgv273-seacev3-1230916,ocds-dgv273-seacev3-1230916-2026-09-18T10:23:19.979263-05:00,1230916-20448385087,186000.0,PEN,Soles,2026-07-30T00:00:00-05:00
ocds-dgv273-seacev3-1234156,ocds-dgv273-seacev3-1234156-2026-09-18T10:23:19.912817-05:00,1234156-20255361695,77029.81,PEN,Soles,2026-09-17T00:00:00-05:00
ocds-dgv273-seacev3-1233955,ocds-dgv273-seacev3-1233955-2026-09-18T10:23:19.666915-05:00,1233955-1816196,631634.77,PEN,Soles,2026-08-05T00:00:00-05:00
ocds-dgv273-seacev3-1232250,ocds-dgv273-seacev3-1232250-2026-09-18T10:23:19.536853-05:00,1232250-1815494,349000.0,PEN,Soles,2026-08-19T00:00:00-05:00
ocds-dgv273-seacev3-1237024,ocds-dgv273-seacev3-1237024-2026-09-18T10:23:19.275289-05:00,1237024-10290832964,368155.51,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1233994,ocds-dgv273-seacev3-1233994-2026-09-18T10:23:18.809325-05:00,1233994-20604234035,173880.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1237510,ocds-dgv273-seacev3-1237510-2026-09-18T10:23:18.779060-05:00,1237510-20604095329,133292.97,PEN,Soles,2026-09-03T00:00:00-05:00
ocds-dgv273-seacev3-1221414,ocds-dgv273-seacev3-1221414-2026-09-18T10:23:18.632292-05:00,1221414-1813273,1510765.81,PEN,Soles,2026-07-24T00:00:00-05:00
ocds-dgv273-seacev3-2026-28-77,ocds-dgv273-seacev3-2026-28-77-2026-09-18T10:23:18.590773-05:00,1230133-20557219987,2791461.36,PEN,Soles,2026-08-18T00:00:00-05:00
ocds-dgv273-seacev3-1232724,ocds-dgv273-seacev3-1232724-2026-09-18T10:23:18.477393-05:00,1232724-20610752021,69200.0,PEN,Soles,2026-08-05T00:00:00-05:00
ocds-dgv273-seacev3-1230738,ocds-dgv273-seacev3-1230738-2026-09-18T10:23:18.433490-05:00,1230738-10474369574,89450.0,PEN,Soles,2026-09-09T00:00:00-05:00
ocds-dgv273-seacev3-1237827,ocds-dgv273-seacev3-1237827-2026-09-18T10:23:14.083189-05:00,1237827-20608054953,89998.14,PEN,Soles,2026-08-18T00:00:00-05:00
